questions;type
What is the name of the highest peak in the Himalayas;general
Who painted 'The Creation of Adam';general
What is the capital city of Saudi Arabia;general
Who wrote 'Wuthering Heights';general
What is the chemical symbol for sodium;general
What is the largest lake in North America;general
Who is the author of 'The Godfather';general
What is the capital city of Kenya;general
What is the chemical symbol for phosphorus;general
Who painted 'Las Meninas';general
What is the largest city in Italy;general
Who wrote 'Brave New World';general
What is the currency used in Turkey;general
What is the name of the highest peak in Africa;general
What is the capital city of Lebanon;general
Who painted 'The Death of Sardanapalus';general
What is the chemical symbol for lithium;general
What is the name of the largest island in the Caribbean;general
What is the capital city of Morocco;general
Who wrote 'Catch-22';general
What is the name of the largest bay in the world;general
What is the chemical symbol for barium;general
Who is the author of 'A Tale of Two Cities';general
What is the capital city of New Zealand;general
What is the largest city in the Netherlands;general
Who painted 'The Hay Wain';general
What is the chemical symbol for strontium;general
What is the capital city of Bangladesh;general
What is the name of the largest river in Australia;general
Who wrote 'The Road';general
What is the chemical symbol for cobalt;general
What is the name of the largest waterfall in Africa;general
What is the capital city of Qatar;general
Who painted 'The Lady of Shalott';general
What is the name of the largest reef system in the Pacific Ocean;general
What is the chemical symbol for selenium;general
What is the capital city of Kuwait;general
What is the name of the largest desert in Asia;general
Who wrote 'The Sun Also Rises';general
What is the capital city of Sri Lanka;general
What is the chemical symbol for uranium;general
Who painted 'The Arnolfini Portrait';general
What is the name of the highest waterfall in the world;general
What is the capital city of Cyprus;general
What is the name of the largest lake in Asia;general
Who wrote 'Rebecca';general
What is the capital city of Jordan;general
What is the chemical symbol for titanium;general
What is the name of the largest island in the Indian Ocean;general
Who painted 'The Birth of Venus';general
What is the capital city of Mongolia;general
What is the largest city in the Middle East;general
Who wrote 'The Jungle Book';general
What is the capital city of Oman;general
What is the name of the highest peak in the Alps;general
What is the chemical symbol for tungsten;general
Who is the author of 'The Shining';general
What is the name of the largest lake in Europe;general
What is the capital city of Azerbaijan;general
Who painted 'The Fighting Temeraire';general
What is the name of the largest bay in North America;general
What is the chemical symbol for radon;general
Who wrote 'A Clockwork Orange';general
What is the capital city of Uzbekistan;general
What is the name of the largest waterfall in Asia;general
Who painted 'The Night Hawks';general
What is the chemical symbol for iridium;general
What is the capital city of Mongolia;general
Who wrote 'A Passage to India';general
What is the largest desert in Australia;general
What is the chemical symbol for tellurium;general
Who painted 'The Blue Boy';general
What is the capital city of Yemen;general
What is the largest lake in South America;general
Who wrote 'The Secret Garden';general
What is the name of the largest bay in Africa;general
What is the chemical symbol for neon;general
Who painted 'The Weeping Woman';general
What is the capital city of Kazakhstan;general
What is the name of the highest mountain in Japan;general
What is the chemical symbol for bismuth;general
Who wrote 'The Sound and the Fury';general
What is the name of the largest river in North America;general
What is the capital city of Belarus;general
Who painted 'The Death of Socrates';general
What is the chemical symbol for vanadium;general
What is the largest city in Poland;general
Who wrote 'The Count of Monte Cristo';general
What is the name of the largest island in the Arctic Ocean;general
What is the capital city of Armenia;general
Who painted 'The Allegory of Spring';general
What is the name of the highest peak in the Rockies;general
What is the chemical symbol for yttrium;general
What is the capital city of Slovenia;general
Who wrote 'The Great Expectations';general
What is the name of the largest river in North America;general
What is the chemical symbol for gallium;general
Who painted 'The Starry Night';general
What is the capital city of Montenegro;general
What is the name of the highest peak in the Andes;general
Who wrote 'The Wind in the Willows';general
What is the chemical symbol for rhodium;general
What is the capital city of North Macedonia;general
Who painted 'The Red Vineyard';general
What is the name of the largest river in Europe;general
What is the chemical symbol for osmium;general
Who wrote 'The Hobbit';general
What is the name of the largest river in Asia;general
What is the capital city of Luxembourg;general
What is the chemical symbol for europium;general
Who painted 'The Hay Wain';general
What is the capital city of Malta;general
What is the name of the largest city in the world;general
Who wrote 'The Bell Jar';general
What is the name of the highest waterfall in South America;general
What is the chemical symbol for osmium;general
Who painted 'The Girl with a Pearl Earring';general
What is the capital city of Malta;general
